iRecord,id,dec,frame_start,frame_end,frame_count,dec_frame,cont_end,lane_id,lane_change_frame,llm_frame,affectedId,affected_ttc,affected_dhw,y_dist,dist,x,y,xVelocity,yVelocity,xAcceleration,yAcceleration,numLaneChanges,precedingId,followingId,leftPrecedingId,leftFollowingId,rightPrecedingId,rightFollowingId,precedingRisk,followingRisk,leftPrecedingRisk,leftFollowingRisk,rightPrecedingRisk,rightFollowingRisk,avg_x_speed,surrounding_count,preceding_x,preceding_y,preceding_xv,following_x,following_y,following_xv,leftPreceding_x,leftPreceding_y,leftPreceding_xv,leftFollowing_x,leftFollowing_y,leftFollowing_xv,rightPreceding_x,rightPreceding_y,rightPreceding_xv,rightFollowing_x,rightFollowing_y,rightFollowing_xv,rp00,rp01,rp02,rp10,rp11,rp12,rp20,rp21,rp22,rp30,rp31,rp32,rp40,rp41,rp42
03,618,-1,17051,17313,262,17220,17293,2,17206,17205,623,3.9962358845671266,31.849999999999994,0.0,31.849999999999994,168.27,11.57,-37.58,0.58,-0.05,-0.03,1,616,621,0,623,0,0,0.4432282737702756,0.0,0.0,0.2525385731240934,0.0,0.0,-38.24,3,146.98,9.53,-31.89,241.43,9.23,-36.61,,,,209.45,13.51,-46.22,,,,,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
05,846,-1,19437,19605,168,19541,19582,3,19525,19524,850,3.9944134078212294,35.75,0.0,35.75,151.6,19.73,-30.77,0.89,-0.17,0.02,1,839,849,0,850,844,0,0.0,0.0,0.0,0.14427007780561782,0.899116444678887,0.0,-30.615,4,63.66,17.41,-24.98,206.72,17.45,-32.18,,,,198.46,21.25,-40.6,145.41,14.31,-24.7,,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,3.0
08,993,-1,16916,17108,192,17071,17107,7,17094,17093,994,3.9908466819221986,17.439999999999998,0.0,17.439999999999998,380.21,22.29,37.93,-1.3,-0.36,-0.62,1,0,995,996,994,0,986,0.0,0.0,0.4771198734010286,0.624818673348279,0.0,0.08822365818277726,37.370000000000005,4,,,,281.28,24.37,35.07,403.7,19.78,48.18,361.31,20.62,41.9,,,,338.4,28.06,24.33,3.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
10,227,-1,3882,4067,185,4045,4066,2,4055,4054,238,3.6202057998129105,38.7,0.0,38.7,30.76,5.74,-25.12,0.79,0.05,0.16,1,0,229,0,237,0,0,0.0,0.0,0.0,0.9578003428722142,0.0,0.0,-32.045,2,,,,98.57,3.78,-23.75,,,,33.32,8.32,-40.34,,,,,,,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
11,1699,-1,14517,14672,155,14560,14568,7,14534,14533,1702,3.9364161849710957,20.429999999999993,0.0,20.429999999999993,42.48,23.87,30.68,-0.79,-0.15,-0.11,1,1698,1703,1694,1702,1692,0,0.03916655677172623,0.18950283528946327,0.21442700778056178,0.3753132005802453,0.5325069233812475,0.0,31.95,5,92.09,24.87,34.62,4.77,25.46,30.9,79.7,21.35,35.54,10.91,20.93,36.78,65.91,29.71,21.91,,,,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0
12,1317,1,10631,10912,281,10790,10856,3,10758,10757,1322,3.9744408945687044,12.440000000000055,0.0,12.440000000000055,325.54,10.95,-16.25,-0.55,-0.03,-0.05,1,1310,1328,1294,1297,1314,1322,0.3543452459448767,0.0,0.8474218646973494,0.42067783199261505,0.5458261901622049,0.4676249505472768,-14.406666666666666,6,302.63,12.53,-15.42,397.68,12.53,-16.65,319.87,17.06,-9.84,336.13,16.95,-8.5,309.37,8.24,-16.51,347.45,9.56,-19.52,3.0,3.0,3.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0
12,2141,1,18062,18276,214,18221,18238,6,18180,18179,2143,3.8344370860926964,5.789999999999964,0.0,5.789999999999964,301.4,28.0,28.03,0.79,-0.0,-0.11,1,2148,2155,0,0,2139,2143,0.35922458130027696,0.0,0.0,0.0,0.696558090465515,0.7428458393775551,28.765,4,324.54,25.78,28.39,213.72,25.56,30.52,,,,,,,314.5,30.16,27.45,290.09,29.63,28.7,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0
13,2179,-1,19808,19972,164,19922,19971,3,19913,19912,2189,3.990234374999998,20.429999999999993,0.0,20.429999999999993,66.07,20.2,-26.55,0.63,-0.11,0.0,1,2178,2181,2180,2189,2171,2175,0.4800210998285639,0.5160226823157061,0.1033891599630753,0.44771198734010287,0.9427667150204404,0.5013846762495054,-25.74,6,48.29,18.31,-24.91,84.04,18.81,-26.58,21.4,21.79,-28.26,92.66,22.19,-31.87,65.4,14.39,-21.66,84.36,13.78,-21.16,3.0,3.0,3.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0
14,87,-1,916,1022,106,1013,1021,8,1008,1007,104,3.9941520467836167,27.319999999999936,0.0,27.319999999999936,386.1,31.58,23.71,-0.66,0.62,0.04,1,0,102,0,104,0,0,0.0,0.0,0.0,0.32216800738494,0.0,0.0,28.005000000000003,2,,,,273.17,33.82,25.17,,,,353.13,29.63,30.84,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
15,145,-1,2602,2877,275,2702,2706,6,2715,2706,147,3.142857142857143,7.040000000000006,0.0,7.040000000000006,119.19,23.45,24.58,-0.26,0.12,0.05,1,143,0,144,147,0,0,0.21798760385071872,0.0,0.0,0.7362521429513386,0.0,0.0,27.69666666666667,3,151.94,25.28,23.36,,,,187.86,21.25,33.39,107.47,21.37,26.34,,,,,,,3.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
16,623,-1,14971,15228,257,15059,15227,2,15056,15055,630,3.742874109263659,63.03000000000003,0.0,63.03000000000003,241.76,10.57,-24.9,0.98,-0.14,-0.16,1,620,631,626,630,0,0,0.16721614136885138,0.0,0.14229196887775286,0.0,0.0,0.0,-31.9125,4,209.13,7.7,-22.26,375.85,8.05,-24.55,203.6,13.19,-38.83,316.79,13.21,-42.01,,,,,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
17,491,-1,11193,11358,165,11274,11345,6,11284,11283,495,2.5335820895522363,20.369999999999976,0.0,20.369999999999976,184.93,23.55,34.85,-0.71,0.87,0.18,2,489,497,492,495,0,0,0.5239351180271661,0.0,0.38678623236186205,0.5652116576552816,0.0,0.0,35.4525,4,200.15,25.58,29.64,67.26,25.09,26.05,212.71,21.25,43.88,162.01,21.81,42.24,,,,,,,3.0,3.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
19,846,-1,20190,20433,243,20393,20432,2,20380,20379,851,3.6236024844720487,29.169999999999995,0.0,29.169999999999995,45.61,11.16,-23.42,0.57,0.2,-0.11,1,0,848,847,851,0,0,0.0,0.05116708426744033,0.7142291968877753,0.24541738098377952,0.0,0.0,-28.153333333333332,3,,,,90.0,9.08,-26.04,29.6,13.01,-26.09,83.73,13.39,-32.33,,,,,,,3.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
21,976,-1,22751,22936,185,22897,22935,2,22877,22876,979,3.626527050610818,20.78,0.0,20.78,81.03,10.97,-33.23,0.9,-0.16,-0.1,1,969,982,977,979,0,0,0.0,0.0,0.5313200580245285,0.4106554134247659,0.0,0.0,-31.265,4,10.14,8.43,-23.92,238.7,8.69,-24.04,60.42,13.23,-37.57,111.23,13.44,-39.53,,,,,,,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
22,653,-1,12690,12913,223,12790,12824,6,12776,12775,657,3.4322344322344334,28.110000000000014,0.0,28.110000000000014,181.89,23.29,24.2,-1.0,0.53,0.08,1,652,655,651,657,0,0,0.24357114598443888,0.026111037847817486,0.0,0.2615060002637479,0.0,0.0,26.0775,4,212.35,25.43,21.8,136.81,25.37,22.57,245.61,22.25,26.45,144.52,20.98,33.49,,,,,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
25,2785,1,28725,29069,344,28862,28924,7,28827,28826,2791,3.9665970772442583,19.0,0.0,19.0,94.43,37.44,15.01,1.0,-1.53,-0.22,1,2775,2790,2786,2787,2783,2791,0.0,0.25557167348015297,0.7739680865092972,0.2389555584860873,0.4779111169721746,0.2346037188447844,12.420000000000002,6,148.64,35.94,8.02,68.11,35.45,15.76,95.49,31.53,8.74,72.63,31.48,10.28,113.51,39.02,13.56,63.09,40.13,18.16,3.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0
25,2817,-1,29311,29460,150,29395,29408,7,29385,29384,2809,3.6217948717948762,5.650000000000006,0.0,5.650000000000006,151.48,33.7,6.21,-1.06,-0.39,0.06,1,2814,2821,2803,2809,2820,2826,0.3463009363048925,0.0,0.6351048397731769,0.6325992351312145,0.7548463668732691,0.0,7.228333333333333,6,166.1,35.23,5.76,118.71,35.51,6.7,158.09,31.16,6.88,140.31,31.29,7.97,143.14,39.28,8.13,104.22,39.18,7.93,3.0,3.0,3.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,3.0,3.0,3.0
26,213,1,1497,1645,148,1513,1569,7,1556,1555,219,3.9556213017751505,13.370000000000005,0.0,13.370000000000005,171.41,27.16,17.3,1.48,0.75,-0.1,2,208,224,215,217,211,219,0.4127653962811552,0.0,0.5393643676645127,0.7870236054332058,0.2694184359752077,0.7046024001054991,16.333333333333332,6,194.44,25.86,12.44,90.1,24.67,17.86,189.96,21.61,14.1,165.65,21.1,14.97,199.41,29.75,18.87,159.14,28.52,19.76,3.0,3.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,3.0
26,496,-1,4725,5303,845,5067,5104,2,5050,5049,522,1.4497991967871502,10.830000000000013,0.0,10.830000000000013,200.56,6.25,-5.52,0.27,-0.43,0.02,3,427,447,510,522,0,0,0.0,0.7671106422260319,0.0,0.4838454437557695,0.0,0.0,-9.7775,4,153.77,3.91,-6.52,206.68,4.31,-6.82,165.04,8.49,-12.48,221.92,8.31,-13.29,,,,,,,2.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
26,496,-1,5050,5484,845,5326,5377,3,5303,5302,535,2.3175675675675667,6.859999999999999,0.0,6.859999999999999,122.72,9.96,-9.86,0.47,-0.43,0.02,3,522,533,529,535,427,447,0.008967427139654491,0.25108795991032573,0.491230383753132,0.6133456415666623,0.0,0.14822629566134776,-11.378333333333332,6,89.95,7.88,-12.7,148.19,7.67,-13.36,110.99,11.7,-14.17,137.3,12.43,-12.97,85.9,3.64,-8.31,142.43,4.26,-6.76,3.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
26,1599,-1,16549,16895,346,16688,16735,2,16688,16687,1631,2.8127250900360123,23.42999999999998,0.0,23.42999999999998,129.07,6.2,-8.41,1.0,-1.04,0.07,2,1594,1612,1622,1631,0,0,0.1269945931689305,0.0,0.24040617169985493,0.19794276671502045,0.0,0.0,-11.6025,4,103.6,4.06,-6.55,163.78,4.3,-7.2,111.19,8.28,-15.8,162.64,8.35,-16.86,,,,,,,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
26,1972,-1,20401,20532,131,20504,20531,3,20456,20455,1996,3.9961089494163415,51.349999999999994,0.0,51.349999999999994,159.28,9.99,-16.35,1.36,-0.82,0.09,1,1968,1975,1988,1996,1959,1977,0.4139522616378742,0.4127653962811552,0.44533825662666493,0.0,0.23987867598575763,0.0,-18.585000000000004,6,137.95,8.59,-13.8,177.67,8.08,-15.31,141.96,12.59,-25.09,245.61,12.27,-33.88,128.94,4.27,-12.14,237.16,4.33,-11.29,3.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0
27,72,-1,421,607,186,511,602,3,494,493,76,3.9784366576819394,29.519999999999982,0.0,29.519999999999982,316.16,10.54,-31.45,0.87,0.02,0.02,1,65,78,69,76,66,73,0.002505604641962284,0.0,0.6999868126071476,0.24726361598312013,0.134775154951866,0.45654754055123303,-29.553333333333338,6,262.09,8.5,-24.69,402.78,8.23,-31.2,303.42,12.44,-33.81,355.66,12.9,-39.26,272.15,4.27,-23.62,337.55,4.43,-24.74,3.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,3.0
28,1972,-1,25683,25877,194,25836,25876,8,25837,25836,1981,3.9953198127925047,25.609999999999957,0.0,25.609999999999957,359.7,26.85,25.25,-0.69,0.05,0.12,1,1965,1978,1976,1981,0,0,0.0,0.0,0.28854015561123564,0.37518132665172094,0.0,0.0,27.655,4,410.23,29.62,21.41,280.3,29.31,25.1,389.91,25.38,32.45,329.24,25.49,31.66,,,,,,,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
28,2210,-1,28734,29025,291,28971,28985,2,28939,28938,2213,3.9706877113866947,35.22,0.0,35.22,90.61,5.94,-24.74,0.77,0.08,-0.06,1,0,2215,2206,2213,0,0,0.0,0.0,0.0,0.0011868653567189767,0.0,0.0,-27.67,3,,,,242.94,3.66,-24.62,16.86,7.09,-24.69,146.58,7.83,-33.7,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
29,295,-1,3483,3718,235,3604,3673,7,3577,3576,300,3.988399071925755,34.379999999999995,0.0,34.379999999999995,231.58,23.7,29.18,-0.91,0.67,-0.04,1,294,299,296,300,292,305,0.406303573783463,0.0,0.5740472108664118,0.09494922853751814,0.440195173414216,0.0,28.956666666666667,6,255.76,25.07,25.1,176.82,24.64,29.42,249.09,21.18,33.85,181.68,21.36,39.09,257.99,29.17,23.91,60.9,29.22,22.37,3.0,3.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0
29,1340,-1,17535,17858,323,17691,17695,3,17669,17668,1348,3.9680851063829734,26.109999999999957,0.0,26.109999999999957,275.17,10.26,-26.08,0.48,-0.69,-0.16,1,1336,1342,1341,1348,1339,1343,0.102070420677832,0.19886588421469076,0.0,0.2595278913358829,0.1428194645918502,0.32322299881313465,-27.66333333333333,6,233.29,8.57,-23.86,308.45,8.45,-24.55,222.08,12.74,-36.38,312.71,12.43,-34.15,234.67,4.38,-23.6,303.43,3.3,-23.44,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
